"spy_code","longitud","latitud","region","country"
"SPY193066","-4.46027777777778","47.9569444444444","Lusitanian","France"
"SPY193067","-4.59","47.9077777777778","Lusitanian","France"
"SPY193069","-4.82777777777778","48.0733333333333","Lusitanian","France"
"SPY193071","-4.80916666666667","48.0847222222222","Lusitanian","France"
"SPY193072","-4.75833333333333","48.095","Lusitanian","France"
"SPY193073","-4.72666666666667","48.0094444444444","Lusitanian","France"
"SPY193074","-4.80916666666667","48.0847222222222","Lusitanian","France"
"SPY193075","-4.71472222222222","48.0816666666667","Lusitanian","France"
"SPY193076","-4.71472222222222","48.0816666666667","Lusitanian","France"
"SPY193077","-4.75833333333333","48.095","Lusitanian","France"
"SPY193078","-4.72666666666667","48.0094444444444","Lusitanian","France"
"SPY193080","-4.78083333333333","48.0480555555556","Lusitanian","France"
"SPY193081","-4.53222222222222","47.9880555555556","Lusitanian","France"
"SPY193082","-4.59","47.9077777777778","Lusitanian","France"
"SPY193083","-4.43","47.9313888888889","Lusitanian","France"
"SPY193084","-4.78083333333333","48.0480555555556","Lusitanian","France"
"SPY193085","-4.49055555555556","47.9794444444444","Lusitanian","France"
"SPY193086","-4.46027777777778","47.9569444444444","Lusitanian","France"
"SPY193087","-4.48777777777778","47.8713888888889","Lusitanian","France"
"SPY193088","-4.48777777777778","47.8713888888889","Lusitanian","France"
"SPY193092","-4.53722222222222","47.8847222222222","Lusitanian","France"
"SPY193093","-4.43","47.9313888888889","Lusitanian","France"
"SPY193609","-68.93806","12.1033","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193611","-69.13586","12.26733","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193612","-69.0013","12.14939","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193613","-69.0163","12.17507","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193614","-68.95914","12.11126","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193615","-69.09351","12.22201","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193619","-69.0163","12.17507","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193620","-68.95914","12.11126","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193621","-69.08604","12.20335","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193622","-69.08604","12.20335","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193623","-69.13586","12.26733","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193624","-68.93806","12.1033","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193625","-69.10592","12.23906","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193627","-69.09351","12.22201","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193628","-69.12778","12.26498","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193629","-69.08678","12.20477","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193630","-69.08678","12.20477","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193631","-69.10592","12.23906","Tropical_Northwestern_Atlantic","Netherlands"
"SPY193632","-69.12778","12.26498","Tropical_Northwestern_Atlantic","Netherlands"
"SPY180766","40.36129","-22.33078","Western_Indian_Ocean","France"
"SPY180771","40.35581","-22.33281","Western_Indian_Ocean","France"
"SPY180783","42.67116","-17.05712","Western_Indian_Ocean","France"
"SPY181529","40.35581","-22.33281","Western_Indian_Ocean","France"
"SPY181720","40.36129","-22.33078","Western_Indian_Ocean","France"
"SPY181897","40.33886","-22.33944","Western_Indian_Ocean","France"
"SPY181901","42.74781","-17.02874","Western_Indian_Ocean","France"
"SPY190554","47.29144","-11.56444","Western_Indian_Ocean","France"
"SPY190557","54.5139","-15.89239","Western_Indian_Ocean","France"
"SPY190561","47.28871","-11.56593","Western_Indian_Ocean","France"
"SPY190567","54.5139","-15.89239","Western_Indian_Ocean","France"
"SPY190570","47.28334","-11.58652","Western_Indian_Ocean","France"
"SPY190574","47.29144","-11.56444","Western_Indian_Ocean","France"
"SPY190575","47.28774","-11.56503","Western_Indian_Ocean","France"
"SPY190578","54.51736","-15.89278","Western_Indian_Ocean","France"
"SPY190580","47.28774","-11.56503","Western_Indian_Ocean","France"
"SPY190582","47.28334","-11.58652","Western_Indian_Ocean","France"
"SPY190586","47.28871","-11.56593","Western_Indian_Ocean","France"
"SPY190588","54.51736","-15.89278","Western_Indian_Ocean","France"
"SPY190592","54.51689","-15.89311","Western_Indian_Ocean","France"
"SPY190593","54.51689","-15.89311","Western_Indian_Ocean","France"
"SPY190609","42.74781","-17.02874","Western_Indian_Ocean","France"
"SPY190612","42.67116","-17.05712","Western_Indian_Ocean","France"
"SPY190614","42.66977","-17.03868","Western_Indian_Ocean","France"
"SPY190618","40.33886","-22.33944","Western_Indian_Ocean","France"
"SPY190622","42.67851","-17.05547","Western_Indian_Ocean","France"
"SPY190623","42.66956","-17.038661","Western_Indian_Ocean","France"
"SPY190624","42.66956","-17.038661","Western_Indian_Ocean","France"
"SPY190627","40.33888","-22.33879","Western_Indian_Ocean","France"
"SPY190628","42.67851","-17.05547","Western_Indian_Ocean","France"
"SPY190629","40.33888","-22.33879","Western_Indian_Ocean","France"
"SPY181533","-145.44823","-16.500328","Southeast_Polynesia","France"
"SPY181832","-145.447461","-16.500438","Southeast_Polynesia","France"
"SPY181888","-145.459671","-16.5209","Southeast_Polynesia","France"
"SPY181899","-145.459671","-16.5209","Southeast_Polynesia","France"
"SPY181900","-145.462426","-16.516914","Southeast_Polynesia","France"
"SPY181906","-145.463558","-16.515778","Southeast_Polynesia","France"
"SPY181907","-145.459671","-16.5209","Southeast_Polynesia","France"
"SPY181911","-145.447721","-16.500383","Southeast_Polynesia","France"
"SPY181912","-145.459671","-16.5209","Southeast_Polynesia","France"
"SPY181914","-145.447065","-16.499774","Southeast_Polynesia","France"
"SPY181919","-145.447768","-16.500305","Southeast_Polynesia","France"
"SPY181920","-145.447768","-16.500305","Southeast_Polynesia","France"
"SPY173250","-61.50619","16.15962","Tropical_Northwestern_Atlantic","France"
"SPY173251","-61.53646","16.20352","Tropical_Northwestern_Atlantic","France"
"SPY173252","-61.53646","16.20352","Tropical_Northwestern_Atlantic","France"
"SPY173256","-61.87116","16.24518","Tropical_Northwestern_Atlantic","France"
"SPY173257","-61.87493","16.15732","Tropical_Northwestern_Atlantic","France"
"SPY173258","-61.87493","16.15732","Tropical_Northwestern_Atlantic","France"
"SPY173259","-61.82218","16.2617","Tropical_Northwestern_Atlantic","France"
"SPY173260","-61.82218","16.2617","Tropical_Northwestern_Atlantic","France"
"SPY173261","-61.50429","16.48538","Tropical_Northwestern_Atlantic","France"
"SPY173262","-61.50429","16.48538","Tropical_Northwestern_Atlantic","France"
"SPY173264","-61.51445","16.50096","Tropical_Northwestern_Atlantic","France"
"SPY173265","-61.52166","16.47047","Tropical_Northwestern_Atlantic","France"
"SPY173266","-61.52166","16.47047","Tropical_Northwestern_Atlantic","France"
"SPY173267","-61.85716","16.07855","Tropical_Northwestern_Atlantic","France"
"SPY173268","-61.85716","16.07855","Tropical_Northwestern_Atlantic","France"
"SPY173269","-61.8644","16.14098","Tropical_Northwestern_Atlantic","France"
"SPY173270","-61.8644","16.14098","Tropical_Northwestern_Atlantic","France"
"SPY173271","-61.82252","16.26194","Tropical_Northwestern_Atlantic","France"
"SPY173272","-61.82252","16.26194","Tropical_Northwestern_Atlantic","France"
"SPY173273","-61.52821","16.37651","Tropical_Northwestern_Atlantic","France"
"SPY173274","-61.52821","16.37651","Tropical_Northwestern_Atlantic","France"
"SPY173275","-61.57521","16.359","Tropical_Northwestern_Atlantic","France"
"SPY173276","-61.57521","16.359","Tropical_Northwestern_Atlantic","France"
"SPY173278","-61.67195","16.32673","Tropical_Northwestern_Atlantic","France"
"SPY173279","-61.67195","16.32673","Tropical_Northwestern_Atlantic","France"
"SPY173280","-61.213","16.24619","Tropical_Northwestern_Atlantic","France"
"SPY173281","-61.14683","16.20771","Tropical_Northwestern_Atlantic","France"
"SPY173282","-61.11949","16.18316","Tropical_Northwestern_Atlantic","France"
"SPY173283","-61.09994","16.17763","Tropical_Northwestern_Atlantic","France"
"SPY180501","-61.50619","16.15962","Tropical_Northwestern_Atlantic","France"
"SPY180180","133.01915","-4.11785","Western_Coral_Triangle","Indonesia"
"SPY180181","133.50134","-4.32327","Western_Coral_Triangle","Indonesia"
"SPY180182","133.50134","-4.32327","Western_Coral_Triangle","Indonesia"
"SPY180183","133.49443","-4.32225","Western_Coral_Triangle","Indonesia"
"SPY180184","133.49443","-4.32225","Western_Coral_Triangle","Indonesia"
"SPY180185","134.0777","-3.90981","Western_Coral_Triangle","Indonesia"
"SPY180186","134.0777","-3.90981","Western_Coral_Triangle","Indonesia"
"SPY180970","133.50023","-4.33406","Western_Coral_Triangle","Indonesia"
"SPY180975","134.12033","-3.79458","Western_Coral_Triangle","Indonesia"
"SPY180977","130.60258","-0.95288","Western_Coral_Triangle","Indonesia"
"SPY180978","131.60634","-2.65144","Western_Coral_Triangle","Indonesia"
"SPY180981","134.16254","-3.77903","Western_Coral_Triangle","Indonesia"
"SPY180984","133.50023","-4.33406","Western_Coral_Triangle","Indonesia"
"SPY180985","134.48901","-4.03573","Western_Coral_Triangle","Indonesia"
"SPY180986","134.20171","-4.01173","Western_Coral_Triangle","Indonesia"
"SPY180991","134.03543","-3.90622","Western_Coral_Triangle","Indonesia"
"SPY180992","134.07967","-3.90956","Western_Coral_Triangle","Indonesia"
"SPY180993","134.09264","-3.8319","Western_Coral_Triangle","Indonesia"
"SPY180994","131.59814","-2.67144","Western_Coral_Triangle","Indonesia"
"SPY180997","130.60258","-0.95288","Western_Coral_Triangle","Indonesia"
"SPY180998","131.60634","-2.65144","Western_Coral_Triangle","Indonesia"
"SPY180999","134.09264","-3.8319","Western_Coral_Triangle","Indonesia"
"SPY181001","132.80188","-3.93609","Western_Coral_Triangle","Indonesia"
"SPY181002","134.28719","-4.03521","Western_Coral_Triangle","Indonesia"
"SPY181003","132.80188","-3.93609","Western_Coral_Triangle","Indonesia"
"SPY181004","131.93817","-3.00112","Western_Coral_Triangle","Indonesia"
"SPY181006","134.48901","-4.03573","Western_Coral_Triangle","Indonesia"
"SPY181010","132.80188","-3.93609","Western_Coral_Triangle","Indonesia"
"SPY181012","132.91273","-4.08471","Western_Coral_Triangle","Indonesia"
"SPY181013","132.91273","-4.08471","Western_Coral_Triangle","Indonesia"
"SPY181017","133.05912","-4.06037","Western_Coral_Triangle","Indonesia"
"SPY181018","133.02032","-4.11746","Western_Coral_Triangle","Indonesia"
"SPY181019","132.97571","-4.12453","Western_Coral_Triangle","Indonesia"
"SPY181020","133.05912","-4.06037","Western_Coral_Triangle","Indonesia"
"SPY181021","133.02032","-4.11746","Western_Coral_Triangle","Indonesia"
"SPY181022","133.02032","-4.11746","Western_Coral_Triangle","Indonesia"
"SPY181023","132.97514","-4.13307","Western_Coral_Triangle","Indonesia"
"SPY181024","132.9769","-4.12602","Western_Coral_Triangle","Indonesia"
"SPY181025","132.9769","-4.12602","Western_Coral_Triangle","Indonesia"
"SPY181026","132.97571","-4.12453","Western_Coral_Triangle","Indonesia"
"SPY181027","132.97514","-4.13307","Western_Coral_Triangle","Indonesia"
"SPY181029","130.60258","-0.95288","Western_Coral_Triangle","Indonesia"
"SPY181030","131.93817","-3.00112","Western_Coral_Triangle","Indonesia"
"SPY181031","134.20171","-4.01173","Western_Coral_Triangle","Indonesia"
"SPY181032","131.59814","-2.67144","Western_Coral_Triangle","Indonesia"
"SPY181033","134.20171","-4.01173","Western_Coral_Triangle","Indonesia"
"SPY181034","130.60258","-0.95288","Western_Coral_Triangle","Indonesia"
"SPY181035","134.48901","-4.03573","Western_Coral_Triangle","Indonesia"
"SPY181040","134.03543","-3.90622","Western_Coral_Triangle","Indonesia"
"SPY181043","134.28719","-4.03521","Western_Coral_Triangle","Indonesia"
"SPY181044","133.49826","-4.32135","Western_Coral_Triangle","Indonesia"
"SPY181045","132.80188","-3.93609","Western_Coral_Triangle","Indonesia"
"SPY181046","134.16254","-3.77903","Western_Coral_Triangle","Indonesia"
"SPY181047","133.02032","-4.11746","Western_Coral_Triangle","Indonesia"
"SPY181048","134.48901","-4.03573","Western_Coral_Triangle","Indonesia"
"SPY181049","132.97463","-4.11588","Western_Coral_Triangle","Indonesia"
"SPY181054","134.07967","-3.90956","Western_Coral_Triangle","Indonesia"
"SPY181055","134.12033","-3.79458","Western_Coral_Triangle","Indonesia"
"SPY181057","133.49826","-4.32135","Western_Coral_Triangle","Indonesia"
"SPY181059","133.01915","-4.11785","Western_Coral_Triangle","Indonesia"
"SPY181060","132.97463","-4.11588","Western_Coral_Triangle","Indonesia"
"SPY181062","134.28719","-4.03521","Western_Coral_Triangle","Indonesia"
"SPY181063","134.28719","-4.03521","Western_Coral_Triangle","Indonesia"
"SPY181064","134.20171","-4.01173","Western_Coral_Triangle","Indonesia"
"SPY180589","-81.59661","4.01142","Tropical_East_Pacific","Columbia"
"SPY180590","-81.59661","4.01142","Tropical_East_Pacific","Columbia"
"SPY180592","-81.60143","4.00685","Tropical_East_Pacific","Columbia"
"SPY180593","-81.60462","3.98944","Tropical_East_Pacific","Columbia"
"SPY180594","-81.60143","4.00685","Tropical_East_Pacific","Columbia"
"SPY180595","-81.60547","4.00885","Tropical_East_Pacific","Columbia"
"SPY180596","-81.59995","4.00515","Tropical_East_Pacific","Columbia"
"SPY180597","-81.59995","4.00515","Tropical_East_Pacific","Columbia"
"SPY180598","-81.60547","4.00885","Tropical_East_Pacific","Columbia"
"SPY180599","-81.62184","3.99871","Tropical_East_Pacific","Columbia"
"SPY180601","-81.60259","4.00286","Tropical_East_Pacific","Columbia"
"SPY180602","-81.60462","3.98944","Tropical_East_Pacific","Columbia"
"SPY180603","-81.61842","3.99357","Tropical_East_Pacific","Columbia"
"SPY180604","-81.62184","3.99871","Tropical_East_Pacific","Columbia"
"SPY180605","-81.60259","4.00286","Tropical_East_Pacific","Columbia"
"SPY180768","-81.60371","4.00226","Tropical_East_Pacific","Columbia"
"SPY180769","-81.60332","4.00202","Tropical_East_Pacific","Columbia"
"SPY180773","-81.60392","4.0023","Tropical_East_Pacific","Columbia"
"SPY180775","-81.61842","3.99357","Tropical_East_Pacific","Columbia"
"SPY180776","-81.60248","4.00276","Tropical_East_Pacific","Columbia"
"SPY180777","-81.6205","3.9929","Tropical_East_Pacific","Columbia"
"SPY180778","-81.60334","4.00594","Tropical_East_Pacific","Columbia"
"SPY180779","-81.6205","3.9929","Tropical_East_Pacific","Columbia"
"SPY180780","-81.60392","4.0023","Tropical_East_Pacific","Columbia"
"SPY180781","-81.60248","4.00276","Tropical_East_Pacific","Columbia"
"SPY180782","-81.60334","4.00594","Tropical_East_Pacific","Columbia"
"SPY180606","3.79002","40.022518","Mediterranean_Sea","Spain"
"SPY180607","3.830327","39.918649","Mediterranean_Sea","Spain"
"SPY180608","4.285683","39.957735","Mediterranean_Sea","Spain"
"SPY180609","3.474012","39.689585","Mediterranean_Sea","Spain"
"SPY180610","3.405029","39.771142","Mediterranean_Sea","Spain"
"SPY180611","4.070868","40.088462","Mediterranean_Sea","Spain"
"SPY180613","4.096724","40.07145","Mediterranean_Sea","Spain"
"SPY180614","3.323661","39.786777","Mediterranean_Sea","Spain"
"SPY180615","3.323661","39.786777","Mediterranean_Sea","Spain"
"SPY180616","3.830632","39.918309","Mediterranean_Sea","Spain"
"SPY180617","3.790081","40.022395","Mediterranean_Sea","Spain"
"SPY180618","3.471091","39.688479","Mediterranean_Sea","Spain"
"SPY180619","3.468065","39.746475","Mediterranean_Sea","Spain"
"SPY180620","3.405029","39.771142","Mediterranean_Sea","Spain"
"SPY180621","4.096939","40.071488","Mediterranean_Sea","Spain"
"SPY180623","3.468065","39.746475","Mediterranean_Sea","Spain"
"SPY180624","8.879176","42.629439","Mediterranean_Sea","France"
"SPY180626","4.285778","39.957858","Mediterranean_Sea","Spain"
"SPY180627","4.070965","40.086845","Mediterranean_Sea","Spain"
"SPY180628","4.160777","39.848846","Mediterranean_Sea","Spain"
"SPY180630","6.829228","43.417858","Mediterranean_Sea","France"
"SPY180631","4.303324","39.829577","Mediterranean_Sea","Spain"
"SPY180632","4.160777","39.848846","Mediterranean_Sea","Spain"
"SPY180633","4.303324","39.829577","Mediterranean_Sea","Spain"
"SPY180634","6.88044","43.427372","Mediterranean_Sea","France"
"SPY180635","6.829228","43.417858","Mediterranean_Sea","France"
"SPY180926","3.171352","42.401302","Mediterranean_Sea","France"
"SPY180927","3.167352","42.460386","Mediterranean_Sea","France"
"SPY180928","3.203946","42.349021","Mediterranean_Sea","France"
"SPY180929","3.203946","42.349021","Mediterranean_Sea","France"
"SPY180930","3.167352","42.460386","Mediterranean_Sea","France"
"SPY180931","3.171352","42.401302","Mediterranean_Sea","France"
"SPY180932","8.810375","42.592608","Mediterranean_Sea","France"
"SPY180933","3.13962","42.517347","Mediterranean_Sea","France"
"SPY180934","6.88044","43.427372","Mediterranean_Sea","France"
"SPY180935","3.13962","42.517347","Mediterranean_Sea","France"
"SPY180936","3.0496","42.570987","Mediterranean_Sea","France"
"SPY180937","3.0496","42.570987","Mediterranean_Sea","France"
"SPY181146","8.879176","42.629439","Mediterranean_Sea","France"
"SPY181147","8.725903","42.58508","Mediterranean_Sea","France"
"SPY181148","8.860081","42.609901","Mediterranean_Sea","France"
"SPY181149","8.709377","42.577371","Mediterranean_Sea","France"
"SPY181150","8.709377","42.577371","Mediterranean_Sea","France"
"SPY181151","8.898822","42.628935","Mediterranean_Sea","France"
"SPY181152","8.80077","42.584973","Mediterranean_Sea","France"
"SPY181153","6.231181","42.993934","Mediterranean_Sea","France"
"SPY181154","8.80077","42.584973","Mediterranean_Sea","France"
"SPY181155","8.898822","42.628935","Mediterranean_Sea","France"
"SPY181156","8.840922","42.607429","Mediterranean_Sea","France"
"SPY181157","8.840922","42.607429","Mediterranean_Sea","France"
"SPY181158","8.810375","42.592608","Mediterranean_Sea","France"
"SPY181159","8.860081","42.609901","Mediterranean_Sea","France"
"SPY181160","8.725903","42.58508","Mediterranean_Sea","France"
"SPY181702","5.169124","43.328101","Mediterranean_Sea","France"
"SPY181703","5.28961","43.357043","Mediterranean_Sea","France"
"SPY181704","5.27374","43.346751","Mediterranean_Sea","France"
"SPY181705","5.162342","43.326564","Mediterranean_Sea","France"
"SPY181706","5.28961","43.357043","Mediterranean_Sea","France"
"SPY181707","5.162342","43.326564","Mediterranean_Sea","France"
"SPY181709","5.243485","43.331557","Mediterranean_Sea","France"
"SPY181710","5.27374","43.346751","Mediterranean_Sea","France"
"SPY181711","5.228154","43.328215","Mediterranean_Sea","France"
"SPY181712","5.243485","43.331557","Mediterranean_Sea","France"
"SPY181713","5.169124","43.328101","Mediterranean_Sea","France"
"SPY181714","5.228154","43.328215","Mediterranean_Sea","France"
"SPY181808","6.178013","42.994923","Mediterranean_Sea","France"
"SPY181809","6.172318","43.009663","Mediterranean_Sea","France"
"SPY181810","6.923639","43.460438","Mediterranean_Sea","France"
"SPY181811","6.88989","43.427908","Mediterranean_Sea","France"
"SPY181812","6.231181","42.993934","Mediterranean_Sea","France"
"SPY181813","6.19165","42.989867","Mediterranean_Sea","France"
"SPY181814","6.923639","43.460438","Mediterranean_Sea","France"
"SPY181815","6.184702","43.009209","Mediterranean_Sea","France"
"SPY181816","6.19165","42.989867","Mediterranean_Sea","France"
"SPY181817","3.166933","42.359825","Mediterranean_Sea","France"
"SPY181818","6.247296","42.996874","Mediterranean_Sea","France"
"SPY181819","6.247296","42.996874","Mediterranean_Sea","France"
"SPY181820","6.88989","43.427908","Mediterranean_Sea","France"
"SPY181821","6.172318","43.009663","Mediterranean_Sea","France"
"SPY181822","6.8148","43.414792","Mediterranean_Sea","France"
"SPY181823","6.8148","43.414792","Mediterranean_Sea","France"
"SPY181825","6.184702","43.009209","Mediterranean_Sea","France"
"SPY181826","6.178013","42.994923","Mediterranean_Sea","France"
"SPY181827","3.166933","42.359825","Mediterranean_Sea","France"
"SPY181829","6.922852","43.453856","Mediterranean_Sea","France"
"SPY181830","6.922852","43.453856","Mediterranean_Sea","France"
"SPY181975","3.159341","42.468482","Mediterranean_Sea","France"
"SPY182155","3.169849","42.423661","Mediterranean_Sea","France"
"SPY182160","3.169849","42.423661","Mediterranean_Sea","France"
"SPY182168","3.159013","42.468838","Mediterranean_Sea","France"
"SPY182540","3.161565","42.461737","Mediterranean_Sea","France"
"SPY182542","3.161565","42.461737","Mediterranean_Sea","France"
"SPY182543","3.163444","42.409949","Mediterranean_Sea","France"
"SPY182544","3.163444","42.409949","Mediterranean_Sea","France"
"SPY182545","3.187986","42.351981","Mediterranean_Sea","France"
"SPY182546","3.187986","42.351981","Mediterranean_Sea","France"
"SPY192279","5.36633","43.269","Mediterranean_Sea","France"
"SPY192280","5.39804","43.17492","Mediterranean_Sea","France"
"SPY192284","5.35105","43.23291","Mediterranean_Sea","France"
"SPY192285","5.34549","43.21732","Mediterranean_Sea","France"
"SPY192289","5.39804","43.17492","Mediterranean_Sea","France"
"SPY192305","5.37254","43.18036","Mediterranean_Sea","France"
