"","yellow2","purple","sienna1","X.FF3E96","royalblue3","palegreen3","species"
"NA..38",9.9988247495151e-06,9.99508224927341e-06,0.0116490622927331,9.99236782892564e-06,9.99930779868944e-06,9.99956862238196e-06,NA
"NA..39",9.9923675004675e-06,9.97056749355932e-06,0.0652437339691702,9.95465527360258e-06,9.99511692367487e-06,9.99712935634803e-06,NA
"NA..40",9.9979711973659e-06,9.99131222259504e-06,0.0206193076882829,9.98665639014754e-06,9.9988188356881e-06,9.99929833840036e-06,NA
"NA..41",0.00961412926104955,0.0116392794260745,0.00249665593900521,9.95103243434218e-06,9.99706316595734e-06,9.99898397258094e-06,NA
"NA..42",9.99717046725951e-06,9.98878872514682e-06,0.0252824246120744,9.98277143178618e-06,9.99821767333497e-06,9.99893768530245e-06,NA
"NA..43",9.99956890728716e-06,9.99841691400532e-06,0.0035844088530844,9.99758054142962e-06,9.99971764974385e-06,9.99979793597344e-06,NA
"Decapterus.macarellus",9.97618757634957e-06,0.0297937580751313,0.031915280509635,9.99156289246343e-06,9.98594847698411e-06,9.99531294131173e-06,"Decapterus macarellus"
"NA..44",9.99973946001034e-06,9.99916238561637e-06,0.00179031160977235,9.998756767273e-06,9.99981180260134e-06,9.99985133183269e-06,NA
"NA..45",9.99607880376017e-06,0.00397528703435361,0.00242673731115755,9.9868386920666e-06,9.9989453888338e-06,9.99960597551043e-06,NA
"NA..46",9.99585929104632e-06,9.98374615518035e-06,0.0361911607407901,9.9750808884163e-06,9.9973412024037e-06,9.99842915541023e-06,NA
"NA..47",9.9680224333557e-06,9.8774330741375e-06,0.2724601759293,9.81683532646865e-06,9.97979809887952e-06,0.00144629674063148,NA
"NA..48",9.9997401516054e-06,9.99915608912545e-06,0.00179130505173139,9.99874952347499e-06,9.99981012912876e-06,9.9998500630034e-06,NA
"NA..49",9.99927446865991e-06,9.99719655864529e-06,0.00629768926118222,9.99574642689697e-06,9.99952276193382e-06,9.99968832396771e-06,NA
"NA..50",9.99752479893794e-06,9.99114177529236e-06,0.0190637008683645,9.98686752834465e-06,9.99842198274515e-06,9.99903643479093e-06,NA
"NA..51",9.99831803657954e-06,9.99351360511233e-06,0.0144455276842759,9.99028310412277e-06,9.99893156521992e-06,9.99934761584882e-06,NA
"NA..52",9.98668245985253e-06,9.94893082390202e-06,0.112432150528038,9.92325213060127e-06,9.99136929003595e-06,9.99500045753423e-06,NA
"NA..53",9.99965482778029e-06,9.99878468594508e-06,0.00268761590941606,9.99816862217277e-06,9.99976503040886e-06,9.99982459768043e-06,NA
"NA..54",9.97492768870853e-06,9.90485079834157e-06,0.20950431936529,9.85940987218077e-06,9.9837867929266e-06,9.9906496935637e-06,NA
"NA..55",9.99974264063682e-06,9.99916243098121e-06,0.00178930508926727,9.99876700772659e-06,9.99981367926635e-06,9.99985271605954e-06,NA
"NA..56",9.99811884443854e-06,9.99267011412138e-06,0.016259682819147,9.98906026348005e-06,9.99878323589332e-06,9.99926749578473e-06,NA
"NA..57",9.99638665744483e-06,9.98629354451624e-06,0.0299315056259447,9.97907964578016e-06,9.99763509198095e-06,9.9985912994849e-06,NA
"NA..58",9.99910843359986e-06,9.996198487625e-06,0.0089509508276563,9.99419920923921e-06,9.99946042951451e-06,9.99965772283132e-06,NA
"Sparisoma.viride",9.97049430059747e-06,9.88698636051714e-06,0.251100294588277,9.83044848350908e-06,9.98105893545044e-06,9.98903272346414e-06,"Sparisoma viride"
"NA..59",9.999476310527e-06,9.99801993785124e-06,0.00448572653534909,9.99696626931443e-06,9.9996654843534e-06,9.99976693957827e-06,NA
"NA..60",9.99819230914686e-06,9.99306712588861e-06,0.0153742326783231,9.98931467589512e-06,9.99883904657101e-06,9.99928645807099e-06,NA
"NA..61",9.99964608277132e-06,9.99877195572094e-06,0.00269137807773909,9.99813959783121e-06,9.99975941968476e-06,9.99982027293553e-06,NA
"NA..62",9.9919082354181e-06,9.9690229879821e-06,0.068021257066201,9.95290811014317e-06,9.994744718583e-06,9.99692333277915e-06,NA
"NA..63",9.99811160876986e-06,9.99271478712409e-06,0.0162595984639387,9.98890285870627e-06,9.9988100929617e-06,9.99927130010581e-06,NA
"NA..64",9.9954352866691e-06,9.9832237373771e-06,0.0363083631596579,9.97514625110626e-06,9.997065245307e-06,9.99825734215538e-06,NA
"Chromis.multilineata",9.96677568368046e-06,9.87204242495934e-06,0.285517307125059,9.8064995891172e-06,9.97862310677922e-06,9.98763292260502e-06,"Chromis multilineata"
"NA..65",9.98601746008616e-06,9.94944943874787e-06,0.109057108893931,9.92614413022089e-06,9.99108725843162e-06,9.99477871719789e-06,NA
"NA..66",9.99677382710138e-06,9.9869051006113e-06,0.0297655112060843,9.97983387590454e-06,9.99799411122357e-06,9.99880852961922e-06,NA
